	SubjectID1	SubjectID2	Group1	Group2	Distance
77	SRR7013975	SRR7013972	Crohn's disease	Crohn's disease	0.45849185233126494
78	SRR7013976	SRR7013953	Crohn's disease	Crohn's disease	0.6463235081426872
79	SRR7013976	SRR7013954	Crohn's disease	Crohn's disease	0.4961674131036436
80	SRR7013976	SRR7013955	Crohn's disease	Crohn's disease	0.5355386086115066
81	SRR7013976	SRR7013956	Crohn's disease	Crohn's disease	0.5620462565511274
82	SRR7013976	SRR7013958	Crohn's disease	Crohn's disease	0.45361925841778616
83	SRR7013976	SRR7013959	Crohn's disease	Crohn's disease	0.5185279179286135
84	SRR7013976	SRR7013960	Crohn's disease	Crohn's disease	0.46808637946276277
85	SRR7013976	SRR7013961	Crohn's disease	Crohn's disease	0.5105235775965647
86	SRR7013976	SRR7013969	Crohn's disease	Crohn's disease	0.5917437896019716
87	SRR7013976	SRR7013970	Crohn's disease	Crohn's disease	0.5399814235066082
88	SRR7013976	SRR7013971	Crohn's disease	Crohn's disease	0.39738900334379035
89	SRR7013976	SRR7013972	Crohn's disease	Crohn's disease	0.44242020521595016
90	SRR7013976	SRR7013975	Crohn's disease	Crohn's disease	0.1672753205533609
91	SRR7013977	SRR7013953	Crohn's disease	Crohn's disease	0.6304910379994577
92	SRR7013977	SRR7013954	Crohn's disease	Crohn's disease	0.5119836490696692
93	SRR7013977	SRR7013955	Crohn's disease	Crohn's disease	0.5730482090060484
94	SRR7013977	SRR7013956	Crohn's disease	Crohn's disease	0.57045488239542
95	SRR7013977	SRR7013958	Crohn's disease	Crohn's disease	0.5017882618280761
96	SRR7013977	SRR7013959	Crohn's disease	Crohn's disease	0.6063163380077419
97	SRR7013977	SRR7013960	Crohn's disease	Crohn's disease	0.5137490119671941
98	SRR7013977	SRR7013961	Crohn's disease	Crohn's disease	0.5437990141753639
99	SRR7013977	SRR7013969	Crohn's disease	Crohn's disease	0.49714893359982754
100	SRR7013977	SRR7013970	Crohn's disease	Crohn's disease	0.5562406033394739
101	SRR7013977	SRR7013971	Crohn's disease	Crohn's disease	0.5158584777414232
102	SRR7013977	SRR7013972	Crohn's disease	Crohn's disease	0.4340715354638496
103	SRR7013977	SRR7013975	Crohn's disease	Crohn's disease	0.508885484709945
104	SRR7013977	SRR7013976	Crohn's disease	Crohn's disease	0.5330813036518837
105	SRR7013985	SRR7013953	Crohn's disease	Crohn's disease	0.6158075084702793
106	SRR7013985	SRR7013954	Crohn's disease	Crohn's disease	0.507244849451241
107	SRR7013985	SRR7013955	Crohn's disease	Crohn's disease	0.5812906790741862
108	SRR7013985	SRR7013956	Crohn's disease	Crohn's disease	0.5689570653894801
109	SRR7013985	SRR7013958	Crohn's disease	Crohn's disease	0.5194584182884977
110	SRR7013985	SRR7013959	Crohn's disease	Crohn's disease	0.5874733766135447
111	SRR7013985	SRR7013960	Crohn's disease	Crohn's disease	0.5060438169368437
112	SRR7013985	SRR7013961	Crohn's disease	Crohn's disease	0.5414226251419546
113	SRR7013985	SRR7013969	Crohn's disease	Crohn's disease	0.5494467153896846
114	SRR7013985	SRR7013970	Crohn's disease	Crohn's disease	0.5619402750839618
