	faith_pd
SRR7013947	9.719852415636794
SRR7013948	7.535615627012735
SRR7013950	9.607349304069624
SRR7013951	9.082579710284069
SRR7013952	9.255105945613227
SRR7013953	11.479600024897447
SRR7013954	8.421020917736923
SRR7013955	9.758833625263756
SRR7013956	8.718353579632883
SRR7013958	7.489649020891829
SRR7013959	5.292844690164483
SRR7013960	8.76012512041174
SRR7013961	8.349341233305552
SRR7013969	6.704649700000816
SRR7013970	6.8508702486128215
SRR7013971	6.835244037215926
SRR7013972	6.417033913144614
SRR7013975	5.954517487945573
SRR7013976	5.934644955819513
SRR7013977	7.785178308570581
SRR7013979	12.079221170951378
SRR7013980	8.012307539079464
SRR7013981	7.458746339671999
SRR7013982	9.844697259738808
SRR7013983	8.119329910624167
SRR7013984	10.49236264458332
SRR7013985	6.86014961524981
SRR7013986	7.635222154773771
SRR7013990	7.310748572860774
SRR7013991	8.037621264569765
SRR7013992	6.351365639315002
SRR7013993	5.345908948796932
SRR7013994	5.599583507501025
SRR7013995	6.891344074176324
SRR7013996	7.845531305066876
SRR7013997	8.718670973656401
SRR7013998	8.613911288752366
SRR7013999	9.817838884192668
SRR7014000	10.72467408162138
SRR7014001	10.02282960787017
SRR7014002	8.357956171154672
SRR7014003	8.936571328773859
SRR7014004	9.584924718503327
SRR7014005	10.027127849419596
SRR7014006	8.903814311342739
SRR7014007	7.216897361864879
SRR7014009	7.639823221353774
SRR7014010	6.296517634171909
SRR7014014	8.841370325714761
SRR7014015	5.865760314226202
SRR7014016	9.075667987646282
SRR7014017	6.894218320880931
SRR7014018	8.129184561500857
SRR7014023	8.640002191305042
SRR7014024	8.472048786194843
SRR7014025	9.801451076379767
SRR7014026	8.508535584995013
SRR7014027	7.567044134872461
SRR7014028	8.6314621696018
SRR7014032	11.161914430112706
SRR7014033	8.15625331303574
SRR7014034	4.4402243170054305
SRR7014035	9.477213664878803
SRR7014036	4.9078155215362695
SRR7014037	8.989963035168353
SRR7014043	8.086017693992542
SRR7014044	11.059851804763099
SRR7014045	10.046823537558971
SRR7014046	8.130331767833173
SRR7014047	8.488487541366489
SRR7014048	4.206217154183113
SRR7014049	8.396524402290243
SRR7014050	9.869439295128348
SRR7014051	8.217548680266274
SRR7014052	12.458064598502482
SRR7014053	8.528606358132063
SRR7014055	7.563818146925717
SRR7014056	9.994085214810227
SRR7014057	2.840221685426132
SRR7014058	1.8693679094167441
SRR7014059	7.520546844059421
SRR7014060	7.655448283332495
SRR7014061	9.982102687183541
SRR7014062	6.002069332148155
SRR7014066	4.203779986910737
SRR7014067	5.995261512650011
SRR7014068	4.471363350007788
SRR7014072	2.256167385107504
SRR7014073	11.78838826319597
SRR7014074	4.40634472768876
SRR7014075	7.25824205325261
SRR7014076	6.855995394329094
SRR7014077	6.863780873543957
SRR7014078	5.357703378546075
SRR7014082	6.691432432775098
SRR7014083	7.477387990353449
SRR7014084	8.302415277764247
SRR7014085	11.056668963238431
SRR7014086	13.247901128641537
SRR7014087	8.13247754323392
SRR7014089	7.559649578370816
SRR7014090	8.086248202094621
SRR7014091	9.89179394074178
SRR7014092	8.357271246669285
SRR7014093	9.336317083900056
SRR7014097	7.179368588136976
SRR7014098	7.714636743490944
SRR7014099	7.147984007554301
SRR7014101	8.694009470930588
SRR7014102	6.6321688715927785
SRR7014103	8.26251749139128
SRR7014110	8.431734555232584
SRR7014111	5.529589690979851
SRR7014112	8.228464843790066
SRR7014114	8.985763288294361
SRR7014115	8.828190650244142
SRR7014120	9.217671017906383
SRR7014121	8.154919970112193
SRR7014123	4.987102762561166
SRR7014124	8.183309878272112
SRR7014128	8.199304859175271
SRR7014129	8.532605501962479
SRR7014133	8.999370616006878
SRR7014134	5.88991428394147
SRR7014135	12.352050337452457
SRR7014136	10.772076322299622
SRR7014137	3.783793422232773
SRR7014138	10.945589344771417
SRR7014139	11.855300138812538
SRR7014140	10.863408479543681
SRR7014141	4.733050928096521
SRR7014142	6.474556750188533
SRR7014143	6.202509234359255
SRR7014144	9.32254203407259
SRR7014145	7.799935097103393
SRR7014146	8.080749040792456
SRR7014150	4.710165555321202
SRR7014151	11.170585889612394
SRR7014152	10.516386118891234
SRR7014159	9.468692442742146
SRR7014160	10.327414156647789
SRR7014162	5.177730958007238
SRR7014163	7.152380917874211
SRR7014167	3.048831437480868
SRR7014168	3.527729713451999
SRR7014175	8.716855500458042
SRR7014176	6.904679823754446
SRR7014177	6.99196687084285
SRR7014189	6.253967814730332
SRR7014190	5.679427755223543
SRR7013949	14.489927622296449
SRR7014191	6.908513384508476
SRR7014192	9.13474933649421
SRR7014193	6.569686034038336
SRR7014194	7.811409201930784
SRR7014195	7.573037010538021
SRR7014196	4.3370990595989465
SRR7014197	12.27250524238848
SRR7014201	10.485814301538841
SRR7014202	4.627612907294155
SRR7013957	9.138809985061298
SRR7013962	8.240360139424796
SRR7013963	7.873553312213039
SRR7013964	7.684309832039039
SRR7013965	9.192463428282139
SRR7013966	2.022903848856574
SRR7013967	11.094108027772709
SRR7013968	8.32280247252828
SRR7013973	6.127373510410667
SRR7013974	7.71887958483946
SRR7013978	6.214418141960042
SRR7013987	6.772116636749466
SRR7013988	5.550836092012558
SRR7013989	7.0456112705118095
SRR7014008	11.259735169974057
SRR7014011	5.269949960721302
SRR7014012	6.666749787408589
SRR7014013	9.41890449702101
SRR7014019	7.9692342450223315
SRR7014020	8.486947335248473
SRR7014021	7.801687077379983
SRR7014022	11.61795996894989
SRR7014029	7.377228059708713
SRR7014030	6.80683617647815
SRR7014031	9.04429183134108
SRR7014038	10.87476834393054
SRR7014039	8.973735017574183
SRR7014040	5.2573144274876995
SRR7014041	7.774155109448721
SRR7014042	9.168637777392988
SRR7014054	9.91127038678217
SRR7014063	8.099808522459668
SRR7014064	4.81071867912808
SRR7014065	4.913264226074933
SRR7014069	6.938331685177541
SRR7014070	6.185296003574644
SRR7014071	6.739340543167621
SRR7014079	9.13594198361728
SRR7014080	7.447590372790634
SRR7014081	8.4049053108826
SRR7014088	7.397717800621585
SRR7014094	8.548592551991028
SRR7014095	6.581575564861623
SRR7014096	7.891434815599361
SRR7014100	7.132220321194547
SRR7014104	7.45197048345613
SRR7014105	6.409728112821142
SRR7014106	9.57645633977057
SRR7014107	7.574421959002104
SRR7014108	10.319412949988713
SRR7014109	6.537049812136857
SRR7014113	10.505833803857413
SRR7014116	10.953577032870857
SRR7014117	14.03142513583224
SRR7014118	7.882190002032123
SRR7014119	10.598397558492406
SRR7014122	8.127423137645858
SRR7014125	7.391906103863354
SRR7014126	6.488526983346887
SRR7014127	7.199679096624383
SRR7014130	11.563312812800536
SRR7014131	7.720302510577172
SRR7014132	6.790359622621134
SRR7014147	7.999239511343262
SRR7014148	10.77619746787723
SRR7014149	9.883639817620285
SRR7014153	6.8147505571200035
SRR7014154	8.200218262570004
SRR7014155	11.567254539520825
SRR7014156	11.373752535319412
SRR7014157	10.85736785757732
SRR7014158	7.236409048413369
SRR7014161	6.4816962938076035
SRR7014164	9.383042129329155
SRR7014165	7.541817902066349
SRR7014166	3.7721017524434606
SRR7014169	3.871089973340656
SRR7014170	6.004556274932858
SRR7014171	8.901148853704509
SRR7014172	7.30840157702108
SRR7014173	8.586288086324398
SRR7014174	7.021061230915272
SRR7014178	7.201845703544251
SRR7014179	6.024746348348156
SRR7014180	4.601613490605509
SRR7014181	6.975440639366846
SRR7014182	7.003049432118333
SRR7014183	5.808450202217051
SRR7014184	4.927180499662191
SRR7014185	4.180600055419154
SRR7014186	6.9962672091307905
SRR7014187	8.041384718787587
SRR7014188	4.158951877319343
SRR7014198	6.045523092401725
SRR7014199	6.676025094836373
